Device ID,Facility,Clinical Area,Manufacturer,Model,Year Placed in Service,Approx. Age (Years),Network Status,Integration Status,Support Status,Lifecycle Status,Maintenance Status,Preliminary Risk Tier,Notes
HP-0003,Heartland Community Clinic Network,Ambulatory Care,Heartland Medical Technologies,HI-200,2015,11,Network-connected,Integrated,Limited,Aging,Current,High,
HP-0094,Heartland Community Clinic Network,Ambulatory Care,Heartland Medical Technologies,HI-200,2016,10,Network-connected,"Capable, not deployed",Current,Aging,Current,Moderate,
HP-0106,Heartland Community Clinic Network,Ambulatory Care,Heartland Medical Technologies,HI-200,2018,8,Network-connected,"Capable, not deployed",Current,Current,Current,Lower,
HP-0123,Heartland Community Clinic Network,Ambulatory Care,Heartland Medical Technologies,HI-200,2017,9,Network-connected,"Connected, not integrated",Current,Current,Current,Lower,
HP-0129,Heartland Community Clinic Network,Ambulatory Care,Heartland Medical Technologies,HI-100,2011,15,Non-connected,Non-integrated,Unsupported,End-of-life,Expired,High,
HP-0156,Heartland Community Clinic Network,Ambulatory Care,Apex Clinical Devices,HI-300,2018,8,Network-connected,Integrated,Current,Aging,Current,Moderate,
HP-0191,Heartland Community Clinic Network,Ambulatory Care,Heartland Medical Technologies,HI-200,2015,11,Network-connected,Integrated,Current,Aging,Current,Moderate,
HP-0314,Heartland Community Clinic Network,Ambulatory Care,Apex Clinical Devices,HI-300,2019,7,Network-connected,Integrated,Current,Aging,Current,Moderate,
HP-0430,Heartland Community Clinic Network,Ambulatory Care,Apex Clinical Devices,HI-400,2025,1,Network-connected,Integrated,Current,Current,Current,Lower,
HP-0431,Heartland Community Clinic Network,Ambulatory Care,Apex Clinical Devices,HI-300,2019,7,Network-connected,Integrated,Current,Aging,Current,Moderate,
HP-0438,Heartland Community Clinic Network,Ambulatory Care,Apex Clinical Devices,HI-300,2019,7,Network-connected,Integrated,Current,Aging,Current,Moderate,
HP-0450,Heartland Community Clinic Network,Ambulatory Care,Apex Clinical Devices,HI-300,2021,5,Network-connected,Integrated,Current,Current,Current,Lower,
HP-0468,Heartland Community Clinic Network,Ambulatory Care,Apex Clinical Devices,HI-400,2025,1,Network-connected,Integrated,Current,Current,Current,Lower,
HP-0001,Heartland Community Clinic Network,Outpatient Infusion,Heartland Medical Technologies,HI-200,2015,11,Network-connected,"Capable, not deployed",Current,Aging,Current,Moderate,
HP-0060,Heartland Community Clinic Network,Outpatient Infusion,Heartland Medical Technologies,HI-100,2013,13,Non-connected,Non-integrated,Limited,End-of-support,Current,High,
HP-0089,Heartland Community Clinic Network,Outpatient Infusion,Apex Clinical Devices,HI-400,2022,4,Network-connected,Integrated,Current,Current,Current,Lower,
HP-0112,Heartland Community Clinic Network,Outpatient Infusion,Heartland Medical Technologies,HI-100,2010,16,Non-connected,"Capable, not deployed",Unsupported,End-of-life,Expired,High,
HP-0193,Heartland Community Clinic Network,Outpatient Infusion,Heartland Medical Technologies,HI-200,2015,11,Network-connected,"Capable, not deployed",Limited,Aging,Current,Moderate,
HP-0202,Heartland Community Clinic Network,Outpatient Infusion,Apex Clinical Devices,HI-300,2021,5,Network-connected,Integrated,Current,Current,Current,Lower,
HP-0217,Heartland Community Clinic Network,Outpatient Infusion,Apex Clinical Devices,HI-300,2020,6,Network-connected,Integrated,Current,Current,Current,Lower,
HP-0253,Heartland Community Clinic Network,Outpatient Infusion,Heartland Medical Technologies,HI-100,2009,17,Non-connected,"Capable, not deployed",Unsupported,End-of-life,Limited,High,
HP-0301,Heartland Community Clinic Network,Outpatient Infusion,Heartland Medical Technologies,HI-100,2009,17,Non-connected,Non-integrated,Unsupported,End-of-life,Limited,High,
HP-0347,Heartland Community Clinic Network,Outpatient Infusion,Heartland Medical Technologies,HI-200,2014,12,Network-connected,"Capable, not deployed",Limited,Aging,Current,Moderate,
HP-0349,Heartland Community Clinic Network,Outpatient Infusion,Heartland Medical Technologies,HI-100,2012,14,"Network-capable, not connected",Non-integrated,Limited,End-of-support,Current,High,
HP-0365,Heartland Community Clinic Network,Outpatient Infusion,Apex Clinical Devices,HI-300,2022,4,Network-connected,Integrated,Current,Current,Current,Lower,
HP-0373,Heartland Community Clinic Network,Outpatient Infusion,Apex Clinical Devices,HI-300,2021,5,Network-connected,Integrated,Current,Current,Current,Lower,
HP-0378,Heartland Community Clinic Network,Outpatient Infusion,Apex Clinical Devices,HI-300,2019,7,Network-connected,Integrated,Current,Aging,Current,Moderate,
HP-0387,Heartland Community Clinic Network,Outpatient Infusion,Apex Clinical Devices,HI-400,2025,1,Network-connected,Integrated,Current,Current,Current,Lower,
HP-0400,Heartland Community Clinic Network,Outpatient Infusion,Heartland Medical Technologies,HI-200,2014,12,"Network-capable, not connected","Capable, not deployed",Current,Aging,Current,Lower,
HP-0469,Heartland Community Clinic Network,Outpatient Infusion,Heartland Medical Technologies,HI-100,2013,13,"Network-capable, not connected","Capable, not deployed",Unsupported,End-of-support,Expired,High,
HP-0093,Heartland Community Hospital,Emergency,Heartland Medical Technologies,HI-200,2017,9,Network-connected,"Connected, not integrated",Current,Current,Current,Lower,
HP-0124,Heartland Community Hospital,Emergency,Heartland Medical Technologies,HI-200,2016,10,"Network-capable, not connected",Integrated,Current,Aging,Current,Moderate,
HP-0154,Heartland Community Hospital,Emergency,Heartland Medical Technologies,HI-200,2017,9,Network-connected,"Capable, not deployed",Limited,Current,Current,Moderate,
HP-0172,Heartland Community Hospital,Emergency,Apex Clinical Devices,HI-300,2018,8,Network-connected,Integrated,Current,Aging,Current,Moderate,
HP-0203,Heartland Community Hospital,Emergency,Apex Clinical Devices,HI-300,2020,6,Network-connected,Integrated,Current,Current,Current,Lower,
HP-0214,Heartland Community Hospital,Emergency,Apex Clinical Devices,HI-400,2023,3,Network-connected,Integrated,Current,Current,Current,Lower,
HP-0243,Heartland Community Hospital,Emergency,Heartland Medical Technologies,HI-100,2009,17,Non-connected,"Capable, not deployed",Unsupported,End-of-life,Limited,High,
HP-0273,Heartland Community Hospital,Emergency,Apex Clinical Devices,HI-400,2024,2,Network-connected,Integrated,Current,Current,Current,Lower,
