Interface ID,Source System,Target System,Information Exchanged,Interface Type,Connectivity,Integration Status,Primary Owner,Criticality,Failure Handling,Dependencies,Notes
INT-001,HI-200 / HI-300 Infusion Pumps,Infusion Integration Gateway,Device status and selected pump telemetry,Network / vendor integration,Network-dependent,Active,Clinical Engineering / Integration Team,High,Local device operation; manual verification required,Network availability; gateway service; vendor support,Used by a subset of network-connected devices; exact device population requires validation.
INT-002,Infusion Integration Gateway,Electronic Health Record (EHR),Selected device and infusion-related information,Application interface,Network-dependent,Active,Clinical Informatics / Integration Team,High,Workflow reverts to manual documentation or verification,Gateway; EHR interface engine; network,Exact data elements and interface specifications require discovery validation.
INT-003,EHR,Infusion Integration Gateway,Selected patient/order context used by supported integration workflows,Application interface,Network-dependent,Partial,Clinical Informatics / Integration Team,High,Manual workflow and verification,EHR; gateway; interface engine,Scope and direction of data exchange require SME validation.
INT-004,HI-100 Infusion Pumps,Clinical Systems,None or manually entered device-related information,Manual / non-integrated,Non-connected or limited,Non-integrated,Clinical Operations,Moderate,Manual workflow,Clinical staff procedures,Legacy population; modernization assessment should confirm whether any devices have undocumented connectivity.
INT-005,HI-200 Infusion Pumps,Infusion Integration Gateway,Device status and selected telemetry,Network / vendor integration,Mixed,Partial,Clinical Engineering / Integration Team,High,Manual verification,Network; gateway; device configuration; vendor support,HI-200 population has mixed connectivity and requires device-level validation.
INT-006,Infusion Integration Gateway,Interface Engine,Normalized device messages,Application interface,Network-dependent,Active,Integration Team,High,Queue/retry where supported; manual workflow if unavailable,Gateway; interface engine; network,Representative enterprise integration dependency.
INT-007,Interface Engine,EHR,Validated device-related messages,HL7-based application interface,Network-dependent,Active,Integration Team,High,Interface monitoring and manual workflow,Interface engine; EHR; network,HL7 designation is used at a conceptual portfolio level; exact message types require discovery validation.
INT-008,Network Management Platform,Connected Infusion Devices,Connectivity and device/network status,Network monitoring,Network-dependent,Active,Infrastructure / Network Team,Moderate,Manual troubleshooting and escalation,Network visibility; device addressing; monitoring platform,Monitoring coverage and device attribution require validation.
INT-009,Asset / Clinical Engineering System,IT Asset / CMDB,"Device identity, location, lifecycle, and maintenance information",Data synchronization,Application-dependent,Partial,Clinical Engineering / IT Asset Management,Moderate,Manual reconciliation,Asset records; CMDB; data ownership,Included to represent the inventory-reconciliation dependency identified during discovery.
INT-010,Vendor Support Portal,Clinical Engineering,"Support cases, service information, and lifecycle notifications",External service / portal,Internet-dependent,Manual,Clinical Engineering,Moderate,Alternative vendor communication process,Vendor relationship; support agreement,Relevant to support and lifecycle assessment; exact vendor mechanisms are fictional.
INT-011,Identity / Access Management,Selected Integration Components,Authentication and authorization information,Security / application integration,Network-dependent,Partial,Cybersecurity / IAM Team,High,Administrative fallback procedures,Identity services; network; integration components,Scope should be confirmed during cybersecurity discovery.
INT-012,Integration Monitoring Platform,Integration Support Team,"Interface availability, errors, and operational alerts",Monitoring / alerting,Network-dependent,Active,Integration Team,Moderate,Operational escalation,Monitoring platform; interface logs; alert routing,Representative operational monitoring dependency.
